week,spend_google,spend_meta,spend_linkedin,spend_indeed,richieste_clienti,ricerche_lavoratori,applications,baseline_true,contrib_google_true,contrib_meta_true,contrib_linkedin_true,contrib_indeed_true
2023-05-01,113.42,13576.34,6441.39,4557.0,1816.0,5679.0,1176.0,885.7,1.6,131.3,38.1,78.2
2023-05-08,160.37,11542.26,6248.75,8904.46,1710.0,5917.0,1163.0,891.7,0.6,127.8,39.4,112.6
2023-05-15,138.23,10357.33,6676.6,14273.31,1750.0,5457.0,1127.0,899.1,0.4,121.6,41.0,139.6
2023-05-22,14479.73,13470.56,8056.47,10767.07,1960.0,5226.0,1329.0,907.9,110.5,130.8,44.5,132.2
2023-05-29,13161.49,12118.23,3928.86,8992.77,1929.0,5163.0,1318.0,917.9,115.5,129.8,38.0,122.2
2023-06-05,18274.17,14338.97,5576.86,10821.34,1822.0,5336.0,1297.0,929.0,142.1,137.3,37.8,128.8
2023-06-12,14498.02,11553.51,6874.58,7148.49,2152.0,5220.0,1374.0,940.8,127.9,130.7,40.6,109.9
2023-06-19,13663.59,8656.46,4412.6,9341.81,2177.0,5081.0,1380.0,952.7,121.0,116.0,36.6,119.5
2023-06-26,13727.39,8285.22,7729.22,9945.87,2166.0,5167.0,1384.0,964.2,120.3,106.9,41.7,124.3
2023-07-03,15855.3,14076.49,6428.46,9496.47,2185.0,4478.0,1382.0,974.8,131.4,127.3,41.7,123.0
2023-07-10,15182.6,13999.01,6840.14,10848.88,2421.0,4842.0,1397.0,983.8,129.6,135.1,42.5,129.0
2023-07-17,15028.66,10152.99,5229.87,1735.52,2440.0,4934.0,1382.0,990.6,128.6,124.3,39.7,51.2
2023-07-24,14766.92,9569.22,6546.48,1793.41,2654.0,4463.0,1325.0,994.6,127.0,116.6,40.8,25.5
2023-07-31,18557.58,12688.23,6654.25,1370.75,2538.0,4523.0,1324.0,995.6,144.7,125.8,41.7,14.9
2023-08-07,12108.14,7845.46,5671.43,1772.65,2566.0,4432.0,1322.0,993.0,115.2,109.9,40.1,18.2
2023-08-14,11545.31,8002.28,5522.73,10964.64,2539.0,4390.0,1414.0,986.8,106.3,102.6,38.9,120.1
2023-08-21,10550.89,10344.8,5401.31,6801.96,2623.0,4468.0,1417.0,977.0,98.4,110.2,37.9,104.6
2023-08-28,1236.15,8360.74,4222.99,6721.72,2601.0,4736.0,1314.0,963.6,20.7,104.5,34.5,100.0
2023-09-04,1298.55,8720.75,4720.55,9624.49,2631.0,4811.0,1265.0,947.0,9.7,103.5,33.8,119.7
2023-09-11,11050.65,8212.6,4571.8,7262.32,2458.0,4505.0,1276.0,927.8,89.2,100.7,33.1,108.0
2023-09-18,9282.33,8700.53,4871.21,9133.08,2425.0,4864.0,1302.0,906.4,86.7,101.7,33.4,118.0
2023-09-25,9031.86,9969.59,5214.39,6507.34,2373.0,4606.0,1216.0,883.6,84.5,108.1,34.4,101.6
2023-10-02,11501.51,7847.76,3472.53,8661.57,2420.0,4885.0,1241.0,860.1,101.6,101.1,30.5,114.1
2023-10-09,11349.91,8378.22,4077.24,6831.71,2419.0,4623.0,1210.0,836.9,103.0,100.3,29.9,103.2
2023-10-16,10708.14,4616.08,5148.17,6805.24,2203.0,4666.0,1104.0,814.7,98.9,80.2,32.4,100.5
2023-10-23,8389.31,7085.6,3439.73,8143.64,2148.0,4704.0,1048.0,794.2,81.6,84.4,29.2,110.4
2023-10-30,9734.09,5944.08,3316.97,5823.46,2152.0,5121.0,1059.0,776.3,88.9,79.9,26.9,93.2
2023-11-06,9388.08,5383.28,3970.74,5091.54,2058.0,4761.0,1019.0,761.4,87.5,74.5,27.6,81.1
2023-11-13,9444.88,5738.09,4361.8,5568.97,2111.0,4512.0,978.0,750.0,87.7,74.2,29.1,83.9
2023-11-20,10437.02,6359.46,3766.85,6504.29,1819.0,4745.0,977.0,742.4,94.8,77.7,28.2,94.1
2023-11-27,9362.22,7862.82,4647.05,4308.98,1905.0,4526.0,963.0,738.7,88.2,87.5,30.2,71.8
2023-12-04,10124.39,5150.92,4338.86,6704.72,1890.0,4490.0,938.0,738.9,92.7,76.8,30.4,94.0
2023-12-11,9197.71,6852.96,4360.06,5470.61,1755.0,4688.0,967.0,742.8,86.6,81.6,30.6,85.5
2023-12-18,9673.47,6295.21,4213.36,7396.46,1859.0,4553.0,984.0,749.9,89.2,80.6,30.3,102.3
2023-12-25,10405.37,6594.4,5524.34,3544.56,1865.0,4598.0,914.0,759.8,94.8,81.8,33.6,64.2
2024-01-01,7031.17,8438.53,3824.61,5454.42,1928.0,4578.0,1027.0,772.0,70.2,92.3,31.0,79.5
2024-01-08,9193.19,8024.47,2598.61,4528.91,2042.0,4662.0,998.0,785.8,83.3,94.7,25.9,71.2
2024-01-15,9163.06,9315.38,5375.57,5681.23,1944.0,4725.0,989.0,800.5,85.0,102.1,31.0,83.3
2024-01-22,9111.81,7507.1,3936.49,7169.86,1892.0,4435.0,1004.0,815.4,84.8,96.5,29.8,100.0
2024-01-29,10080.57,6957.93,4504.91,6842.45,1979.0,4905.0,1073.0,830.1,91.9,91.1,30.6,100.1
2024-02-05,13879.0,7871.64,5630.86,6958.27,2075.0,4748.0,1158.0,843.9,117.2,93.4,34.1,101.2
2024-02-12,9523.75,8830.88,3345.1,7305.86,1917.0,4780.0,1119.0,856.5,93.1,99.2,29.9,104.2
2024-02-19,13666.85,9006.22,3756.79,8042.98,1923.0,5094.0,1185.0,867.6,116.1,102.5,28.6,110.3
2024-02-26,8365.0,7243.29,3558.85,6547.71,2038.0,5225.0,1205.0,877.0,84.5,95.4,27.3,99.9
2024-03-04,11616.46,9422.22,4414.41,9289.61,1970.0,5216.0,1237.0,884.6,102.3,102.9,29.1,117.7
2024-03-11,13090.53,9930.31,5718.49,9489.96,2031.0,5547.0,1303.0,890.7,113.9,108.4,33.5,121.7
2024-03-18,14442.31,14237.72,5956.85,9312.82,1970.0,5312.0,1315.0,895.5,123.2,128.5,36.3,121.5
2024-03-25,15108.9,13439.36,5858.44,9823.96,2018.0,5530.0,1365.0,899.2,128.0,133.6,37.5,124.1
2024-04-01,15661.19,8699.59,4258.02,9623.59,1873.0,5563.0,1237.0,902.3,131.5,117.6,34.4,123.6
2024-04-08,13111.25,9949.28,3405.14,12742.57,1951.0,5683.0,1315.0,905.2,118.5,115.1,30.3,136.1
2024-04-15,13059.97,7869.74,5993.71,9348.14,1937.0,5749.0,1239.0,908.3,116.1,104.5,34.8,125.1
2024-04-22,16703.47,9697.88,5516.77,9112.79,1865.0,5551.0,1313.0,912.1,135.0,108.1,35.9,121.1
2024-04-29,14151.68,11616.74,6611.79,8445.63,1853.0,5782.0,1331.0,916.9,124.8,118.0,39.0,116.4
2024-05-06,11405.46,13513.9,6948.2,8036.11,2057.0,5633.0,1385.0,922.9,107.1,129.5,41.3,112.7
2024-05-13,11870.73,9716.8,6368.3,7714.85,2007.0,5269.0,1348.0,930.3,107.1,119.8,41.4,109.6
2024-05-20,12499.23,9910.88,7094.79,8387.92,1995.0,5172.0,1318.0,939.1,111.0,115.9,42.9,113.7
2024-05-27,16342.33,6901.74,6507.86,9872.78,2119.0,5363.0,1353.0,949.1,132.6,100.3,42.5,123.0
2024-06-03,15362.12,10904.68,6836.34,10586.27,2274.0,5221.0,1425.0,960.2,130.7,111.7,42.9,127.9
2024-06-10,16766.3,9045.73,5425.53,10033.4,2063.0,5122.0,1361.0,972.0,137.2,108.4,40.3,126.3
2024-06-17,13666.46,331.76,5969.33,8509.98,2192.0,5017.0,1329.0,983.9,122.6,58.8,40.0,118.0
2024-06-24,15074.62,305.73,1401.21,11354.12,2305.0,4941.0,1363.0,995.4,127.8,29.8,28.4,130.4
2024-07-01,16098.25,352.3,1533.29,10929.79,2563.0,4943.0,1343.0,1006.0,133.6,15.9,20.9,130.7
2024-07-08,13452.31,241.21,1222.12,9224.11,2533.0,4538.0,1330.0,1015.0,120.8,8.7,15.3,123.0
2024-07-15,15139.57,7721.42,1412.86,8230.18,2630.0,4446.0,1388.0,1021.8,127.8,60.4,12.8,115.5
2024-07-22,12071.39,14217.39,5436.85,1442.64,2528.0,4390.0,1286.0,1025.8,111.7,112.3,24.9,38.9
2024-07-29,12518.86,7717.69,5462.83,1326.74,2571.0,4546.0,1347.0,1026.8,111.8,102.4,30.8,16.7
2024-08-05,12166.16,7863.55,6256.01,6439.04,2726.0,4653.0,1433.0,1024.2,109.7,98.5,35.7,83.3
2024-08-12,9980.39,12692.3,3398.07,8374.88,2713.0,4381.0,1409.0,1018.0,95.0,118.6,31.0,109.6
2024-08-19,13445.17,14119.23,3948.68,8629.78,2758.0,4064.0,1388.0,1008.2,115.1,132.0,29.8,115.2
2024-08-26,10986.09,7102.06,3666.03,6704.44,2692.0,4188.0,1322.0,994.8,102.7,109.9,28.3,102.4
2024-09-02,11664.56,8150.21,2812.36,8024.06,2709.0,4333.0,1331.0,978.2,105.2,103.3,24.9,109.9
2024-09-09,12258.34,8981.76,4126.94,5551.76,2669.0,4394.0,1336.0,959.0,109.3,104.3,27.0,90.4
2024-09-16,11815.19,10754.36,5171.44,9044.32,2678.0,4439.0,1302.0,937.6,107.1,112.7,31.0,115.0
2024-09-23,11876.08,6541.4,4192.49,8658.82,2631.0,4529.0,1314.0,914.8,107.2,96.9,30.5,116.4
2024-09-30,10113.29,7380.93,4442.65,6551.89,2383.0,4497.0,1162.0,891.3,95.5,93.5,30.9,101.5
2024-10-07,9247.88,8558.5,4988.88,7110.36,2275.0,4717.0,1176.0,868.1,87.5,97.9,32.5,102.7
2024-10-14,9614.5,7888.37,5035.68,3682.08,2476.0,4467.0,1139.0,845.9,88.9,96.5,33.5,66.2
2024-10-21,6636.28,6664.29,3921.85,5031.49,2433.0,4442.0,1168.0,825.4,66.0,89.5,31.2,74.8
2024-10-28,6909.8,6838.92,4841.74,5899.69,2202.0,4638.0,1007.0,807.5,64.6,87.2,32.3,86.3
2024-11-04,7005.76,5189.53,3894.76,4946.98,2085.0,4325.0,1029.0,792.6,65.1,76.9,30.4,77.8
2024-11-11,7455.99,6523.2,3215.6,697.29,2199.0,4598.0,952.0,781.2,68.9,79.8,27.3,15.8
2024-11-18,9671.08,6441.96,3356.92,833.93,2229.0,4537.0,961.0,773.6,86.7,80.6,26.0,7.1
2024-11-25,7533.12,7032.09,2750.64,4729.26,2271.0,4480.0,989.0,769.9,72.9,84.3,23.4,59.7
2024-12-02,8407.76,6090.04,3158.17,5107.92,2150.0,4724.0,1018.0,770.1,77.7,80.7,23.2,74.6
2024-12-09,11212.31,7393.85,3542.32,6314.86,2067.0,4381.0,1005.0,774.0,98.7,86.3,24.3,90.6
2024-12-16,8605.3,8153.32,4385.4,7907.66,2021.0,4780.0,1104.0,781.1,83.2,92.7,27.4,107.1
2024-12-23,10584.03,7203.78,5099.05,4858.52,2095.0,4444.0,1019.0,791.0,95.2,90.6,31.0,82.1
2024-12-30,7929.34,7600.89,2983.25,6638.86,2076.0,4307.0,1066.0,803.2,77.4,91.7,27.0,95.0
2025-01-06,9393.76,7385.85,4351.75,8634.87,2028.0,4544.0,1056.0,817.0,85.8,91.1,28.8,113.0
2025-01-13,8298.77,7508.09,3389.86,4689.54,2284.0,4421.0,1081.0,831.7,78.8,91.5,26.9,82.1
2025-01-20,9667.49,6718.94,4656.47,5281.11,2273.0,4535.0,1074.0,846.6,88.0,87.5,29.6,80.8
2025-01-27,12210.02,8407.53,4314.82,6531.43,2231.0,4786.0,1195.0,861.3,106.6,94.5,30.0,93.8
2025-02-03,7535.93,8058.51,3055.01,6607.6,2074.0,4901.0,1200.0,875.1,76.4,95.8,26.6,96.8
2025-02-10,12164.27,11649.6,5486.34,8621.51,2220.0,4825.0,1242.0,887.7,104.9,113.2,31.7,113.1
2025-02-17,12136.42,11200.82,544.08,8096.43,2203.0,5173.0,1271.0,898.8,108.5,118.4,19.8,112.4
2025-02-24,10716.64,9625.07,569.04,5444.05,2185.0,5308.0,1213.0,908.2,99.8,114.0,12.4,90.0
2025-03-03,9144.0,7997.8,4158.88,9005.63,2243.0,5458.0,1284.0,915.8,87.4,104.6,20.7,114.7
2025-03-10,12883.07,7628.54,4675.06,7597.22,2186.0,5423.0,1248.0,921.9,110.7,98.3,26.4,109.2
2025-03-17,11818.72,11898.58,5862.5,10707.11,2186.0,5640.0,1331.0,926.7,107.4,115.3,32.6,126.4
2025-03-24,3195.77,10520.73,5390.8,7920.72,2169.0,5231.0,1263.0,930.4,39.7,116.4,34.4,114.4
2025-03-31,3150.65,11166.44,6047.88,8089.21,2139.0,5525.0,1315.0,933.5,27.7,119.7,37.0,112.6
2025-04-07,18022.79,7197.26,6208.63,10234.66,1966.0,5482.0,1444.0,936.4,133.1,103.7,38.7,124.6
2025-04-14,13631.78,12467.75,7346.65,10801.22,2117.0,5647.0,1376.0,939.5,121.7,119.7,42.0,129.1
2025-04-21,11803.34,11739.34,5656.75,10423.99,2074.0,5538.0,1424.0,943.3,109.0,123.4,40.3,128.3
2025-04-28,15129.32,8795.17,4483.42,6806.34,2032.0,5571.0,1366.0,948.1,126.2,112.8,36.6,107.2
2025-05-05,15391.32,10161.36,7353.79,10825.91,2293.0,5828.0,1446.0,954.1,129.9,113.8,41.0,126.7
2025-05-12,18561.3,11715.54,5842.92,8090.95,2330.0,5449.0,1459.0,961.5,145.1,120.8,40.1,115.6
2025-05-19,17229.64,11339.69,7492.97,10408.3,2342.0,5450.0,1468.0,970.3,141.4,122.3,43.0,125.9
2025-05-26,15963.55,10658.35,6681.3,7437.28,2303.0,5252.0,1435.0,980.3,135.0,120.2,42.9,111.0
2025-06-02,18923.28,11024.34,6093.57,10787.63,2447.0,5187.0,1471.0,991.4,147.2,120.7,41.7,127.0
2025-06-09,11721.82,10677.33,6603.77,8498.44,2403.0,5061.0,1388.0,1003.2,113.4,119.6,42.0,118.1
2025-06-16,13100.17,11408.71,8335.13,7591.3,2484.0,5010.0,1403.0,1015.1,115.6,122.0,45.5,110.0
2025-06-23,12211.93,13903.78,8389.89,11026.35,2448.0,5004.0,1511.0,1026.6,110.6,132.6,47.4,127.9
2025-06-30,13453.73,5838.24,6104.02,10065.53,2634.0,4970.0,1488.0,1037.2,117.2,104.4,44.3,126.5
2025-07-07,10715.44,10228.65,6106.79,8447.45,2671.0,4673.0,1447.0,1046.2,101.3,110.4,42.5,117.7
2025-07-14,15588.73,10825.38,6958.1,11762.37,2620.0,4632.0,1511.0,1053.0,127.7,115.6,43.2,131.9
2025-07-21,13156.03,10825.75,4840.9,8411.48,2771.0,4303.0,1515.0,1057.0,118.1,117.9,39.2,119.0
2025-07-28,9848.13,9373.13,5915.49,8981.05,2810.0,4411.0,1481.0,1058.0,95.6,112.7,39.3,119.1
2025-08-04,10675.69,6699.68,5417.92,9130.77,2990.0,4530.0,1472.0,1055.4,97.6,97.7,38.2,119.9
2025-08-11,13435.65,10101.6,5598.56,7532.93,2936.0,4498.0,1538.0,1049.2,115.3,107.0,38.0,110.0
2025-08-18,14226.52,12153.84,4378.04,8939.95,2871.0,4393.0,1546.0,1039.4,122.2,119.8,34.9,117.2
2025-08-25,16312.94,6515.14,3569.39,7231.83,2882.0,4499.0,1484.0,1026.0,133.9,100.5,31.1,107.1
2025-09-01,17742.67,10086.02,3039.86,7184.03,2846.0,4453.0,1484.0,1009.4,142.1,108.1,27.2,104.4
2025-09-08,12123.62,7961.17,750.95,9366.18,2796.0,4580.0,1448.0,990.2,114.7,101.6,17.6,118.8
2025-09-15,8988.27,8111.6,835.97,5925.19,2685.0,4466.0,1341.0,968.8,88.9,99.3,12.0,96.7
2025-09-22,6535.65,6446.85,837.04,3999.81,2711.0,4392.0,1233.0,946.0,65.1,89.7,8.9,68.6
2025-09-29,10791.94,7256.98,1156.98,8854.18,2609.0,4516.0,1275.0,922.5,94.2,89.5,8.3,111.3
2025-10-06,8545.78,220.26,5001.47,9736.2,2511.0,4042.0,1165.0,899.3,82.0,46.3,21.4,121.9
2025-10-13,9025.18,192.17,3360.51,6028.6,2593.0,4548.0,1095.0,877.1,83.7,22.6,22.7,98.6
2025-10-20,8480.94,222.93,4219.82,4138.82,2525.0,3946.0,1040.0,856.6,79.9,11.5,26.1,70.9
2025-10-27,9106.84,8492.9,3607.91,5880.96,2296.0,4230.0,1012.0,838.7,84.0,66.3,26.1,85.5
2025-11-03,10959.25,7441.26,3635.13,5814.15,2380.0,4545.0,1084.0,823.8,97.9,80.5,26.2,87.4
2025-11-10,9344.06,8954.78,3912.63,5851.01,2426.0,4534.0,1158.0,812.4,88.5,94.4,27.0,88.2
2025-11-17,8764.26,7301.08,4178.07,4809.2,2396.0,4269.0,1090.0,804.8,82.8,91.9,28.2,76.6
2025-11-24,7322.24,7756.01,3521.0,6625.93,2366.0,4317.0,1114.0,801.1,70.6,93.1,27.0,94.0
2025-12-01,6302.29,6405.2,4478.96,6582.43,2267.0,4613.0,1049.0,801.3,60.2,86.5,29.1,96.6
2025-12-08,8291.72,6897.02,3008.05,4428.53,2185.0,4323.0,975.0,805.2,74.9,86.2,26.0,74.0
2025-12-15,9105.94,6030.49,3835.6,6901.46,2162.0,4729.0,1070.0,812.3,83.3,81.2,26.7,96.2
2025-12-22,12317.03,8255.98,5713.56,8530.63,2277.0,4400.0,1137.0,822.2,106.7,91.1,32.3,112.4
